freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_OTH_HH_E,G3000,TJ,LU	9600.726 	9033.895 	8365.456 	8848.352 	8503.684 	9268.077 	9858.985 	11201.917 	10238.072 	10315.947 	10811.620 	10075.354 
A,FC_OTH_HH_E,G3000,TJ,LV	5210.100 	4473.000 	4472.100 	4257.900 	4242.600 	4106.700 	4453.200 	4661.896 	4989.932 	4636.138 	4587.521 	4833.197 
A,FC_OTH_HH_E,G3000,TJ,MD	: 	: 	: 	: 	: 	: 	: 	9428.400 	10803.600 	10860.300 	12070.800 	14401.800 
A,FC_OTH_HH_E,G3000,TJ,MK	0.000 	0.000 	0.000 	0.377 	1.688 	7.742 	3.852 	6.300 	8.100 	7.560 	7.485 	7.486 
A,FC_OTH_HH_E,G3000,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,FC_OTH_HH_E,G3000,TJ,NL	406742.400 	315980.099 	337907.700 	358966.800 	267704.101 	285287.223 	297254.480 	288294.638 	286385.266 	276544.474 	264734.012 	301695.220 
A,FC_OTH_HH_E,G3000,TJ,NO	165.859 	138.364 	148.447 	155.470 	159.033 	140.561 	150.893 	134.717 	134.334 	64.808 	65.519 	64.205 
A,FC_OTH_HH_E,G3000,TJ,PL	: 	: 	: 	: 	0.000 	132201.900 	145148.400 	151972.030 	149111.137 	152348.126 	160832.871 	191170.760 
A,FC_OTH_HH_E,G3000,TJ,PT	12519.000 	10800.900 	10793.700 	10246.500 	10808.100 	11007.000 	10208.700 	10497.600 	11433.600 	11900.700 	12285.900 	12006.000 
A,FC_OTH_HH_E,G3000,TJ,RO	: 	: 	: 	: 	: 	93902.489 	95780.012 	101372.010 	105248.360 	104871.182 	113818.595 	134228.413 
